date,store,promo,holiday,year,month,day,dayofweek,is_weekend,sales,prediction
2023-05-30,3,0,0,2023,5,30,1,0,224.02,233.2014517720454
2022-06-12,1,1,0,2022,6,12,6,1,223.33,219.58333345742722
2023-08-18,7,0,0,2023,8,18,4,0,220.98,232.80916070286912
2023-12-18,9,1,0,2023,12,18,0,0,281.02,278.6915072010015
2022-09-13,7,0,0,2022,9,13,1,0,237.5,222.22411068565998
2022-05-26,2,0,0,2022,5,26,3,0,207.53,210.79273704250227
2023-12-03,2,0,0,2023,12,3,6,1,214.61,215.98859340661147
2022-11-01,9,0,0,2022,11,1,1,0,243.99,225.8056048470462
2022-09-19,9,1,0,2022,9,19,0,0,272.15,255.94459135294164
2023-02-08,9,0,0,2023,2,8,2,0,256.2,228.11959141316038
2023-10-29,4,0,0,2023,10,29,6,1,228.09,213.42797231613076
2023-02-06,3,1,0,2023,2,6,0,0,245.23,261.80490946496866
2023-04-15,4,0,0,2023,4,15,5,1,208.39,206.22138296464982
2023-04-10,5,0,0,2023,4,10,0,0,219.41,234.1829430208454
2022-05-10,10,0,0,2022,5,10,1,0,205.28,216.84765023696673
2023-03-11,9,0,0,2023,3,11,5,1,222.04,205.9619454903077
2023-02-16,5,0,0,2023,2,16,3,0,214.79,225.09213481593906
2022-12-14,9,0,0,2022,12,14,2,0,251.97,225.33455013368075
2023-01-08,8,0,1,2023,1,8,6,1,230.03,240.59122911716986
2023-12-02,7,0,0,2023,12,2,5,1,230.95,219.2712682715719
2023-09-29,3,0,0,2023,9,29,4,0,215.11,233.3238164449358
2023-06-28,3,1,0,2023,6,28,2,0,267.12,263.9338576641894
2023-07-01,1,0,0,2023,7,1,5,1,211.75,210.06231460037816
2023-12-21,2,0,0,2023,12,21,3,0,223.61,239.68176814243634
2023-11-01,7,0,1,2023,11,1,2,0,293.09,281.3910572412715
2023-02-25,4,0,0,2023,2,25,5,1,210.44,203.15032533871272
2023-03-17,3,0,0,2023,3,17,4,0,189.3,224.11064356713177
2023-10-01,8,0,0,2023,10,1,6,1,212.0,214.448845387029
2023-07-22,4,0,0,2023,7,22,5,1,216.32,210.82796940355183
2023-03-02,3,0,1,2023,3,2,3,0,266.59,266.07937014030176
